airport,all_airports,state,country,city,type,iata_code,city_code,longitude,latitude,time_zone,gmt_offset,mileage_region,region
Rigolet,N,NL,Canada,Rigolet,airport,YRG,YRG,-58.4575,54.1794444,America/Halifax,GMT-4:00,Canada & Continental USA,US
Riga International,N,,Latvia,Riga,airport,RIX,RIX,23.9711111,56.9236111,Europe/Riga,GMT+2:00,Europe 2,EU
Richmond International ,N,VA,United States,Richmond,airport,RIC,RIC,-77.319722,37.5052778,America/New_York,GMT-5:00,Canada & Continental USA,US
Richmond,N,,Australia,Richmond,airport,RCM,RCM,143.114167,-20.701389,Australia/Brisbane,GMT+10:00,Australia New Zealand & South Pacific,AU
Richards Bay,N,,South Africa,Richards Bay,airport,RCB,RCB,32.0922222,-28.741111,Africa/Johannesburg,GMT+2:00,"East, West & South Africa",AF
Riberalta,N,,Bolivia,Riberalta,airport,RIB,RIB,-66.073611,-11.010556,America/La_Paz,GMT-4:00,Southern South America,SA
Ribeirao Preto Leite Lopes,N,,Brazil,Ribeirao Preto,airport,RAO,RAO,-47.774167,-21.134167,America/Sao_Paulo,GMT-3:00,Southern South America,SA
Rhodes Diagoras,N,,Greece,Rhodes,airport,RHO,RHO,28.0861111,36.4055556,Europe/Athens,GMT+2:00,Europe 2,EU
Rhinelander Oneida County,N,WI,United States,Rhinelander,airport,RHI,RHI,-89.4675,45.6311111,America/Chicago,GMT-6:00,Canada & Continental USA,US
Reynosa Lucio Blanco International,N,,Mexico,Reynosa,airport,REX,REX,-98.228611,26.0088889,America/Chicago,GMT-6:00,Mexico,CA
Reykjavik Keflavik International,N,,Iceland,Reykjavik,airport,KEF,REK,-22.605556,63985,Atlantic/Reykjavik,GMT0:00,Europe 2,EU
Reykjavik Domestic,N,,Iceland,Reykjavik,airport,RKV,REK,-21.940556,64.13,Atlantic/Reykjavik,GMT0:00,Europe 2,EU
Reus,N,,Spain,Reus,airport,REU,REU,1.16722222,41.1475,Europe/Madrid,GMT+1:00,Europe 1,EU
Resolute Bay,N,NU,Canada,Resolute,airport,YRB,YRB,-94.969444,74.7169444,America/Rainy_River,GMT-6:00,Canada & Continental USA,US
Resistencia,N,,Argentina,Resistencia,airport,RES,RES,-59.056111,-27.45,America/Argentina/Buenos_Aires,GMT-3:00,Southern South America,SA
Repulse Bay,N,NU,Canada,Repulse Bay,airport,YUT,YUT,-86.224722,66.5213889,America/Rainy_River,GMT-6:00,Canada & Continental USA,US
Reno/Tahoe International,N,NV,United States,Reno,airport,RNO,RNO,-119.76806,39.4991667,America/Los_Angeles,GMT-8:00,Canada & Continental USA,US
Rennes St Jacques,N,,France,Rennes,airport,RNS,RNS,-1.7322222,48.0719444,Europe/Paris,GMT+1:00,Europe 1,EU
Rennell Island Tigoa,N,,Solomon Islands,Rennell,airport,RNL,RNL,160.063889,-11.551111,Pacific/Guadalcanal,GMT+11:00,Australia New Zealand & South Pacific,AU
Regina International,N,SK,Canada,Regina,airport,YQR,YQR,-104.65722,50.4294444,America/Regina,GMT-6:00,Canada & Continental USA,US
Reggio di Calabria,N,,Italy,Reggio Calabria,airport,REG,REG,15.6536111,38.0719444,Europe/Rome,GMT+1:00,Europe 1,EU
